COMPONENT,MATRIX,UNIT
1-2-3-4-tetrachlorobenzene,aerosol,pg/m3
1-2-3-4-tetrachlorobenzene,air,pg/m3
1-2-3-4-tetrachlorobenzene,air+aerosol,pg/m3
1-2-3-4-tetrahydronaphthalene,aerosol,pg/m3
1-2-3-4-tetrahydronaphthalene,air,pg/m3
1-2-3-4-tetrahydronaphthalene,air+aerosol,pg/m3
1-2-3-trichlorobenzene,aerosol,pg/m3
1-2-3-trichlorobenzene,air,pg/m3
1-2-3-trichlorobenzene,air+aerosol,pg/m3
1-2-3-trimethylbenzene,air,pmol/mol
1-2-4-5-tetrachlorobenzene,aerosol,pg/m3
1-2-4-5-tetrachlorobenzene,air,pg/m3
1-2-4-5-tetrachlorobenzene,air+aerosol,pg/m3
1-2-4-trichlorobenzene,aerosol,pg/m3
1-2-4-trichlorobenzene,air,pg/m3
1-2-4-trichlorobenzene,air+aerosol,pg/m3
1-2-4-trimethylbenzene,air,pmol/mol
1-2-dichlorobenzene,aerosol,pg/m3
1-2-dichlorobenzene,air,pg/m3
1-2-dichlorobenzene,air+aerosol,pg/m3
1-3-5-trichlorobenzene,aerosol,pg/m3
1-3-5-trichlorobenzene,air,pg/m3
1-3-5-trichlorobenzene,air+aerosol,pg/m3
1-3-5-trimethylbenzene,air,pmol/mol
1-3-butadiene,air,pmol/mol
1-3-dichlorobenzene,aerosol,pg/m3
1-3-dichlorobenzene,air,pg/m3
1-3-dichlorobenzene,air+aerosol,pg/m3
1-4-dichlorobenzene,aerosol,pg/m3
1-4-dichlorobenzene,air,pg/m3
1-4-dichlorobenzene,air+aerosol,pg/m3
1-butene,air,pmol/mol
1-butyne,air,pmol/mol
1-ethyl-3-methylbenzene,air,pmol/mol
1-ethyl-4-methylbenzene,air,pmol/mol
1-hexene,air,pmol/mol
1-methylanthracene,air+aerosol,ng/m3
1-methylanthracene,wetdep,ng/m2day
1-methylnaphthalene,aerosol,ng/m3
1-methylnaphthalene,air,ng/m3
1-methylnaphthalene,air+aerosol,ng/m3
1-methylnaphthalene,precip,ng/l
1-methylnaphthalene,wetdep,ng/m2day
1-methylphenanthrene,air+aerosol,ng/m3
1-methylphenanthrene,precip,ng/l
1-methylphenanthrene,wetdep,ng/m2day
1-pentene,air,pmol/mol
1234678_HpCDD,aerosol,fg/m3
1234678_HpCDD,air,fg/m3
1234678_HpCDD,air+aerosol,fg/m3
1234678_HpCDD,precip,ng/l
1234678_HpCDF,aerosol,fg/m3
1234678_HpCDF,air,fg/m3
1234678_HpCDF,air+aerosol,fg/m3
1234678_HpCDF,precip,ng/l
1234789_HpCDF,aerosol,fg/m3
1234789_HpCDF,air,fg/m3
1234789_HpCDF,air+aerosol,fg/m3
1234789_HpCDF,precip,ng/l
123478_HxCDD,aerosol,fg/m3
123478_HxCDD,air,fg/m3
123478_HxCDD,air+aerosol,fg/m3
123478_HxCDD,precip,ng/l
123478_HxCDF,aerosol,fg/m3
123478_HxCDF,air,fg/m3
123478_HxCDF,air+aerosol,fg/m3
123478_HxCDF,precip,ng/l
123678_HxCDD,aerosol,fg/m3
123678_HxCDD,air,fg/m3
123678_HxCDD,air+aerosol,fg/m3
123678_HxCDD,precip,ng/l
123678_HxCDF,aerosol,fg/m3
123678_HxCDF,air,fg/m3
123678_HxCDF,air+aerosol,fg/m3
123678_HxCDF,precip,ng/l
123789_HxCDD,aerosol,fg/m3
123789_HxCDD,air,fg/m3
123789_HxCDD,air+aerosol,fg/m3
123789_HxCDD,precip,ng/l
123789_HxCDF,aerosol,fg/m3
123789_HxCDF,air,fg/m3
123789_HxCDF,air+aerosol,fg/m3
123789_HxCDF,precip,ng/l
12378_PeCDD,aerosol,fg/m3
12378_PeCDD,air,fg/m3
12378_PeCDD,air+aerosol,fg/m3
12378_PeCDD,precip,ng/l
12378_PeCDF,aerosol,fg/m3
12378_PeCDF,air,fg/m3
12378_PeCDF,air+aerosol,fg/m3
12378_PeCDF,precip,ng/l
2+3-methylheptane,air,pmol/mol
2+3metylheptan,air,pmol/mol
2-2-3-trimethylbutane,air,pmol/mol
2-2-4-trimethylbenzene,air,pmol/mol
2-2-4-trimethylpentane,air,pmol/mol
2-2-dimethylbutane,air,pmol/mol
2-2-dimethylpentane,air,pmol/mol
2-2-dimethylpropane,air,pmol/mol
2-3-dimethylbutane,air,pmol/mol
2-3-dimethylpentane,air,pmol/mol
2-4-dimethylpentane,air,pmol/mol
2-butenal,air,ug/m3
2-chloronaphthalene,aerosol,pg/m3
2-chloronaphthalene,air,pg/m3
2-chloronaphthalene,air+aerosol,pg/m3
2-methyl-1-butene,air,pmol/mol
2-methyl-2-propenal,air,ug/m3
2-methylanthracene,air+aerosol,ng/m3
2-methylanthracene,precip,ng/l
2-methylanthracene,wetdep,ng/m2day
2-methylbenzaldehyde,air,ug/m3
2-methylbutane,air,pmol/mol
2-methylerythritol,aerosol,ng/m3
2-methylerythritol,pm10,ng/m3
2-methylerythritol,pm25,ng/m3
2-methylheptane,air,pmol/mol
2-methylhexane,air,pmol/mol
2-methylnaphthalene,aerosol,ng/m3
2-methylnaphthalene,air,ng/m3
2-methylnaphthalene,air+aerosol,ng/m3
2-methylnaphthalene,precip,ng/l
2-methylnaphthalene,wetdep,ng/m2day
2-methylpentane,air,pmol/mol
2-methylphenanthrene,air+aerosol,ng/m3
2-methylphenanthrene,precip,ng/l
2-methylphenanthrene,wetdep,ng/m2day
2-methylpropane,air,pmol/mol
2-methylpropenal,air,ug/m3
2-methylpropene,air,pmol/mol
2-methylthreitol,aerosol,ng/m3
2-methylthreitol,pm10,ng/m3
2-methylthreitol,pm25,ng/m3
2-oxopropanal,air,ug/m3
2-propanol,air,ug/m3
2-propenal,air,ug/m3
234678_HxCDF,aerosol,fg/m3
234678_HxCDF,air,fg/m3
234678_HxCDF,air+aerosol,fg/m3
234678_HxCDF,precip,ng/l
23478_PeCDF,aerosol,fg/m3
23478_PeCDF,air,fg/m3
23478_PeCDF,air+aerosol,fg/m3
23478_PeCDF,precip,ng/l
2378_TCDD,aerosol,fg/m3
2378_TCDD,air,fg/m3
2378_TCDD,air+aerosol,fg/m3
2378_TCDD,precip,ng/l
2378_TCDF,aerosol,fg/m3
2378_TCDF,air,fg/m3
2378_TCDF,air+aerosol,fg/m3
2378_TCDF,precip,ng/l
3-3-dimethylpentane,air,pmol/mol
3-buten-2-one,air,ug/m3
3-methyl-1-butene,air,pmol/mol
3-methylbenzaldehyde,air,ug/m3
3-methylbutanal,air,ug/m3
3-methylheptane,air,pmol/mol
3-methylpentane,air,pmol/mol
3-methylphenanthrene,air+aerosol,ng/m3
3-methylphenanthrene,precip,ng/l
4-5-methylenephenanthrene,air+aerosol,ng/m3
4-5-methylenephenanthrene,wetdep,ng/m2day
4-methylbenzaldehyde,air,ug/m3
5-methylchrysene,aerosol,ng/m3
5-methylchrysene,air+aerosol,ng/m3
5-methylchrysene,pm10,ng/m3
5-methylchrysene,wetdep,ng/m2day
9-methylphenanthrene,air+aerosol,ng/m3
9-methylphenanthrene,precip,ng/l
9-methylphenanthrene,wetdep,ng/m2day
ATE,aerosol,pg/m3
ATE,air,pg/m3
ATE,air+aerosol,pg/m3
ATE,air+pm10,pg/m3
ATE,pm10,pg/m3
ATE,pm25,pg/m3
BATE,aerosol,pg/m3
BATE,air,pg/m3
BATE,air+aerosol,pg/m3
BATE,air+pm10,pg/m3
BATE,pm10,pg/m3
BATE,pm25,pg/m3
BB_101,aerosol,pg/m3
BB_101,air,pg/m3
BB_101,air+aerosol,pg/m3
BB_101,air+pm10,pg/m3
BB_101,pm10,pg/m3
BB_101,pm25,pg/m3
BB_15,air+aerosol,pg/m3
BB_153,air+aerosol,pg/m3
BDE_100,aerosol,pg/m3
BDE_100,air,pg/m3
BDE_100,air+aerosol,pg/m3
BDE_100,dried_moss,pg/g
BDE_100,precip,ng/l
BDE_100,precip+dry_dep,ng/m2day
BDE_119,aerosol,pg/m3
BDE_119,air,pg/m3
BDE_119,air+aerosol,pg/m3
BDE_119,dried_moss,pg/g
BDE_126,dried_moss,pg/g
BDE_138,aerosol,pg/m3
BDE_138,air,pg/m3
BDE_138,air+aerosol,pg/m3
BDE_138,dried_moss,pg/g
BDE_15,aerosol,pg/m3
BDE_15,air,pg/m3
BDE_15,air+aerosol,pg/m3
BDE_153,aerosol,pg/m3
BDE_153,air,pg/m3
BDE_153,air+aerosol,pg/m3
BDE_153,dried_moss,pg/g
BDE_154,aerosol,pg/m3
BDE_154,air,pg/m3
BDE_154,air+aerosol,pg/m3
BDE_154,dried_moss,pg/g
BDE_155,aerosol,pg/m3
BDE_155,air,pg/m3
BDE_155,air+aerosol,pg/m3
BDE_156,dried_moss,pg/g
BDE_166,aerosol,pg/m3
BDE_166,air,pg/m3
BDE_166,air+aerosol,pg/m3
BDE_17,aerosol,pg/m3
BDE_17,air,pg/m3
BDE_17,air+aerosol,pg/m3
BDE_17,dried_moss,pg/g
BDE_183,aerosol,pg/m3
BDE_183,air,pg/m3
BDE_183,air+aerosol,pg/m3
BDE_183,dried_moss,pg/g
BDE_184,dried_moss,pg/g
BDE_190,aerosol,pg/m3
BDE_190,air,pg/m3
BDE_190,air+aerosol,pg/m3
BDE_191,dried_moss,pg/g
BDE_196,air+aerosol,pg/m3
BDE_196,dried_moss,pg/g
BDE_197,dried_moss,pg/g
BDE_202,dried_moss,pg/g
BDE_203,aerosol,pg/m3
BDE_203,air,pg/m3
BDE_203,air+aerosol,pg/m3
BDE_205,aerosol,pg/m3
BDE_205,air,pg/m3
BDE_205,air+aerosol,pg/m3
BDE_206,aerosol,pg/m3
BDE_206,air,pg/m3
BDE_206,air+aerosol,pg/m3
BDE_206,dried_moss,pg/g
BDE_207,aerosol,pg/m3
BDE_207,air,pg/m3
BDE_207,air+aerosol,pg/m3
BDE_207,dried_moss,pg/g
BDE_209,aerosol,pg/m3
BDE_209,air,pg/m3
BDE_209,air+aerosol,pg/m3
BDE_209,dried_moss,pg/g
BDE_209,precip+dry_dep,ng/m2day
BDE_25_28,aerosol,pg/m3
BDE_25_28,air,pg/m3
BDE_25_28,air+aerosol,pg/m3
BDE_28,aerosol,pg/m3
BDE_28,air,pg/m3
BDE_28,air+aerosol,pg/m3
BDE_28,dried_moss,pg/g
BDE_47,aerosol,pg/m3
BDE_47,air,pg/m3
BDE_47,air+aerosol,pg/m3
BDE_47,dried_moss,pg/g
BDE_47,precip,ng/l
BDE_47,precip+dry_dep,ng/m2day
BDE_49,aerosol,pg/m3
BDE_49,air,pg/m3
BDE_49,air+aerosol,pg/m3
BDE_49,dried_moss,pg/g
BDE_49+71,air+aerosol,pg/m3
BDE_66,aerosol,pg/m3
BDE_66,air,pg/m3
BDE_66,air+aerosol,pg/m3
BDE_66,dried_moss,pg/g
BDE_7,aerosol,pg/m3
BDE_7,air,pg/m3
BDE_7,air+aerosol,pg/m3
BDE_71,aerosol,pg/m3
BDE_71,air,pg/m3
BDE_71,air+aerosol,pg/m3
BDE_71,dried_moss,pg/g
BDE_77,air+aerosol,pg/m3
BDE_77,dried_moss,pg/g
BDE_85,air,pg/m3
BDE_85,air+aerosol,pg/m3
BDE_85,dried_moss,pg/g
BDE_85+126,aerosol,pg/m3
BDE_85+126,air,pg/m3
BDE_85+126,air+aerosol,pg/m3
BDE_99,aerosol,pg/m3
BDE_99,air,pg/m3
BDE_99,air+aerosol,pg/m3
BDE_99,dried_moss,pg/g
BDE_99,precip,ng/l
BDE_99,precip+dry_dep,ng/m2day
BEHTBP,aerosol,pg/m3
BEHTBP,air,pg/m3
BEHTBP,air+aerosol,pg/m3
BEHTBP,air+pm10,pg/m3
BEHTBP,pm10,pg/m3
BEHTBP,pm25,pg/m3
BPA,air+aerosol,pg/m3
BTBPE,aerosol,pg/m3
BTBPE,air,pg/m3
BTBPE,air+aerosol,pg/m3
BTBPE,air+pm10,pg/m3
BTBPE,pm10,pg/m3
BTBPE,pm25,pg/m3
C8-alkylbenzenes,air,pmol/mol
C9-alkylbenzenes,air,pmol/mol
CFC-11,air,pmol/mol
CFC-113,air,pmol/mol
CFC-114,air,pmol/mol
CFC-115,air,pmol/mol
CFC-12,air,pmol/mol
DBDPE,air+aerosol,pg/m3
DPTE,aerosol,pg/m3
DPTE,air,pg/m3
DPTE,air+aerosol,pg/m3
DPTE,air+pm10,pg/m3
DPTE,pm10,pg/m3
DPTE,pm25,pg/m3
EHTBB,air+aerosol,pg/m3
FTS_6-2,air+aerosol,pg/m3
FTS_8-2,air+aerosol,pg/m3
H-1211,air,pmol/mol
H-1301,air,pmol/mol
H-2402,air,pmol/mol
HBB,aerosol,pg/m3
HBB,air,pg/m3
HBB,air+aerosol,pg/m3
HBB,air+pm10,pg/m3
HBB,pm10,pg/m3
HBB,pm25,pg/m3
HBCD,aerosol,pg/m3
HBCD,air,pg/m3
HBCD,air+aerosol,pg/m3
HCB,aerosol,pg/m3
HCB,air,pg/m3
HCB,air+aerosol,pg/m3
HCB,air+pm10,pg/m3
HCB,dried_moss,pg/g
HCB,precip,ng/l
HCB,precip+dry_dep,ng/m2day
HCB,precip_tot,ng/l
HCBD,aerosol,pg/m3
HCBD,air,pg/m3
HCBD,air+aerosol,pg/m3
HCCPD,air+aerosol,pg/m3
HCFC-124,air,pmol/mol
HCFC-141b,air,pmol/mol
HCFC-142b,air,pmol/mol
HCFC-22,air,pmol/mol
HFC-125,air,pmol/mol
HFC-134a,air,pmol/mol
HFC-143a,air,pmol/mol
HFC-152a,air,pmol/mol
HFC-227,air,pmol/mol
HFC-227ea,air,pmol/mol
HFC-23,air,pmol/mol
HFC-236fa,air,pmol/mol
HFC-245fa,air,pmol/mol
HFC-32,air,pmol/mol
HFC-365mfc,air,pmol/mol
HFC-4310mee,air,pmol/mol
MVK_MACR_crotonaldehyde,air,pmol/mol
NOx,air,ug N/m3
NOy,air,nmol/mol
OBIND,aerosol,pg/m3
OBIND,air,pg/m3
OBIND,air+aerosol,pg/m3
OBIND,air+pm10,pg/m3
OBIND,pm10,pg/m3
OBIND,pm25,pg/m3
OCDD,aerosol,fg/m3
OCDD,air,fg/m3
OCDD,air+aerosol,fg/m3
OCDD,precip,ng/l
OCDF,aerosol,fg/m3
OCDF,air,fg/m3
OCDF,air+aerosol,fg/m3
OCDF,precip,ng/l
PBBA,aerosol,pg/m3
PBBA,air,pg/m3
PBBA,air+aerosol,pg/m3
PBBA,air+pm10,pg/m3
PBBA,pm10,pg/m3
PBBA,pm25,pg/m3
PBBZ,aerosol,pg/m3
PBBZ,air,pg/m3
PBBZ,air+aerosol,pg/m3
PBBZ,air+pm10,pg/m3
PBBZ,pm10,pg/m3
PBBZ,pm25,pg/m3
PBEB,aerosol,pg/m3
PBEB,air,pg/m3
PBEB,air+aerosol,pg/m3
PBEB,air+pm10,pg/m3
PBEB,pm10,pg/m3
PBEB,pm25,pg/m3
PBT,aerosol,pg/m3
PBT,air,pg/m3
PBT,air+aerosol,pg/m3
PBT,air+pm10,pg/m3
PBT,pm10,pg/m3
PBT,pm25,pg/m3
PCB_1,aerosol,pg/m3
PCB_1,air,pg/m3
PCB_1,air+aerosol,pg/m3
PCB_100,air+aerosol,pg/m3
PCB_101,aerosol,pg/m3
PCB_101,air,pg/m3
PCB_101,air+aerosol,pg/m3
PCB_101,air+pm10,pg/m3
PCB_101,dried_moss,pg/g
PCB_101,precip,ng/l
PCB_101,precip+dry_dep,ng/m2day
PCB_101,precip_tot,ng/l
PCB_105,aerosol,pg/m3
PCB_105,air,pg/m3
PCB_105,air+aerosol,pg/m3
PCB_105,dried_moss,pg/g
PCB_105,precip,ng/l
PCB_107,air+aerosol,pg/m3
PCB_110,aerosol,pg/m3
PCB_110,air,pg/m3
PCB_110,air+aerosol,pg/m3
PCB_114,aerosol,pg/m3
PCB_114,air,pg/m3
PCB_114,air+aerosol,pg/m3
PCB_114,dried_moss,pg/g
PCB_114,precip,ng/l
PCB_118,aerosol,pg/m3
PCB_118,air,pg/m3
PCB_118,air+aerosol,pg/m3
PCB_118,air+pm10,pg/m3
PCB_118,dried_moss,pg/g
PCB_118,precip,ng/l
PCB_118,precip+dry_dep,ng/m2day
PCB_118,precip_tot,ng/l
PCB_119,aerosol,pg/m3
PCB_119,air,pg/m3
PCB_119,air+aerosol,pg/m3
PCB_12+13,air+aerosol,pg/m3
PCB_122,air+aerosol,pg/m3
PCB_122,dried_moss,pg/g
PCB_123,aerosol,pg/m3
PCB_123,air,pg/m3
PCB_123,air+aerosol,pg/m3
PCB_123,dried_moss,pg/g
PCB_123,precip,ng/l
PCB_126,aerosol,pg/m3
PCB_126,air,pg/m3
PCB_126,air+aerosol,pg/m3
PCB_126,precip,ng/l
PCB_128,aerosol,pg/m3
PCB_128,air,pg/m3
PCB_128,air+aerosol,pg/m3
PCB_128,dried_moss,pg/g
PCB_128,precip,ng/l
PCB_129,air+aerosol,pg/m3
PCB_130,air+aerosol,pg/m3
PCB_130+176,aerosol,pg/m3
PCB_130+176,air,pg/m3
PCB_130+176,air+aerosol,pg/m3
PCB_131,aerosol,pg/m3
PCB_131,air,pg/m3
PCB_131,air+aerosol,pg/m3
PCB_132,aerosol,pg/m3
PCB_132,air,pg/m3
PCB_132,air+aerosol,pg/m3
PCB_133,air+aerosol,pg/m3
PCB_134,aerosol,pg/m3
PCB_134,air,pg/m3
PCB_134,air+aerosol,pg/m3
PCB_134+131,air+aerosol,pg/m3
PCB_136,aerosol,pg/m3
PCB_136,air,pg/m3
PCB_136,air+aerosol,pg/m3
PCB_137,aerosol,pg/m3
PCB_137,air,pg/m3
PCB_137,air+aerosol,pg/m3
PCB_138,aerosol,pg/m3
PCB_138,air,pg/m3
PCB_138,air+aerosol,pg/m3
PCB_138,air+pm10,pg/m3
PCB_138,dried_moss,pg/g
PCB_138,precip,ng/l
PCB_138,precip+dry_dep,ng/m2day
PCB_138,precip_tot,ng/l
PCB_141,aerosol,pg/m3
PCB_141,air,pg/m3
PCB_141,air+aerosol,pg/m3
PCB_141,dried_moss,pg/g
PCB_144+135,aerosol,pg/m3
PCB_144+135,air,pg/m3
PCB_144+135,air+aerosol,pg/m3
PCB_146,aerosol,pg/m3
PCB_146,air,pg/m3
PCB_146,air+aerosol,pg/m3
PCB_147,air+aerosol,pg/m3
PCB_149,aerosol,pg/m3
PCB_149,air,pg/m3
PCB_149,air+aerosol,pg/m3
PCB_149,dried_moss,pg/g
PCB_149,precip,ng/l
PCB_15,aerosol,pg/m3
PCB_15,air,pg/m3
PCB_15,air+aerosol,pg/m3
PCB_15+17,air+aerosol,pg/m3
PCB_150,air+aerosol,pg/m3
PCB_151,aerosol,pg/m3
PCB_151,air,pg/m3
PCB_151,air+aerosol,pg/m3
PCB_153,aerosol,pg/m3
PCB_153,air,pg/m3
PCB_153,air+aerosol,pg/m3
PCB_153,air+pm10,pg/m3
PCB_153,dried_moss,pg/g
PCB_153,precip,ng/l
PCB_153,precip+dry_dep,ng/m2day
PCB_153,precip_tot,ng/l
PCB_156,aerosol,pg/m3
PCB_156,air,pg/m3
PCB_156,air+aerosol,pg/m3
PCB_156,dried_moss,pg/g
PCB_156,precip,ng/l
PCB_157,aerosol,pg/m3
PCB_157,air,pg/m3
PCB_157,air+aerosol,pg/m3
PCB_157,dried_moss,pg/g
PCB_157,precip,ng/l
PCB_157+200,air+aerosol,pg/m3
PCB_158,aerosol,pg/m3
PCB_158,air,pg/m3
PCB_158,air+aerosol,pg/m3
PCB_16+32,aerosol,pg/m3
PCB_16+32,air,pg/m3
PCB_16+32,air+aerosol,pg/m3
PCB_163+138,air+aerosol,pg/m3
PCB_167,aerosol,pg/m3
PCB_167,air,pg/m3
PCB_167,air+aerosol,pg/m3
PCB_167,dried_moss,pg/g
PCB_167,precip,ng/l
PCB_169,aerosol,pg/m3
PCB_169,air,pg/m3
PCB_169,air+aerosol,pg/m3
PCB_169,precip,ng/l
PCB_17,aerosol,pg/m3
PCB_17,air,pg/m3
PCB_17,air+aerosol,pg/m3
PCB_17+18,aerosol,pg/m3
PCB_17+18,air,pg/m3
PCB_17+18,air+aerosol,pg/m3
PCB_170,aerosol,pg/m3
PCB_170,air,pg/m3
PCB_170,air+aerosol,pg/m3
PCB_170,dried_moss,pg/g
PCB_170,precip,ng/l
PCB_170+190,air+aerosol,pg/m3
PCB_171,aerosol,pg/m3
PCB_171,air,pg/m3
PCB_171,air+aerosol,pg/m3
PCB_172,air+aerosol,pg/m3
PCB_172+197,aerosol,pg/m3
PCB_172+197,air,pg/m3
PCB_172+197,air+aerosol,pg/m3
PCB_173,air+aerosol,pg/m3
PCB_174,aerosol,pg/m3
PCB_174,air,pg/m3
PCB_174,air+aerosol,pg/m3
PCB_175,aerosol,pg/m3
PCB_175,air,pg/m3
PCB_175,air+aerosol,pg/m3
PCB_176,air+aerosol,pg/m3
PCB_177,aerosol,pg/m3
PCB_177,air,pg/m3
PCB_177,air+aerosol,pg/m3
PCB_177,precip,ng/l
PCB_178,aerosol,pg/m3
PCB_178,air,pg/m3
PCB_178,air+aerosol,pg/m3
PCB_178+129,aerosol,pg/m3
PCB_178+129,air,pg/m3
PCB_178+129,air+aerosol,pg/m3
PCB_179,aerosol,pg/m3
PCB_179,air,pg/m3
PCB_179,air+aerosol,pg/m3
PCB_18,aerosol,pg/m3
PCB_18,air,pg/m3
PCB_18,air+aerosol,pg/m3
PCB_18,dried_moss,pg/g
PCB_18,precip,ng/l
PCB_180,aerosol,pg/m3
PCB_180,air,pg/m3
PCB_180,air+aerosol,pg/m3
PCB_180,air+pm10,pg/m3
PCB_180,dried_moss,pg/g
PCB_180,precip,ng/l
PCB_180,precip+dry_dep,ng/m2day
PCB_180,precip_tot,ng/l
PCB_182+187,air+aerosol,pg/m3
PCB_183,aerosol,pg/m3
PCB_183,air,pg/m3
PCB_183,air+aerosol,pg/m3
PCB_183,dried_moss,pg/g
PCB_185,aerosol,pg/m3
PCB_185,air,pg/m3
PCB_185,air+aerosol,pg/m3
PCB_187,aerosol,pg/m3
PCB_187,air,pg/m3
PCB_187,air+aerosol,pg/m3
PCB_187,dried_moss,pg/g
PCB_188,aerosol,pg/m3
PCB_188,air,pg/m3
PCB_188,air+aerosol,pg/m3
PCB_189,aerosol,pg/m3
PCB_189,air,pg/m3
PCB_189,air+aerosol,pg/m3
PCB_189,dried_moss,pg/g
PCB_189,precip,ng/l
PCB_19,aerosol,pg/m3
PCB_19,air,pg/m3
PCB_19,air+aerosol,pg/m3
PCB_191,aerosol,pg/m3
PCB_191,air,pg/m3
PCB_191,air+aerosol,pg/m3
PCB_193,aerosol,pg/m3
PCB_193,air,pg/m3
PCB_193,air+aerosol,pg/m3
PCB_194,aerosol,pg/m3
PCB_194,air,pg/m3
PCB_194,air+aerosol,pg/m3
PCB_194,dried_moss,pg/g
PCB_195,aerosol,pg/m3
PCB_195,air,pg/m3
PCB_195,air+aerosol,pg/m3
PCB_196+203,aerosol,pg/m3
PCB_196+203,air,pg/m3
PCB_196+203,air+aerosol,pg/m3
PCB_197,air+aerosol,pg/m3
PCB_198,aerosol,pg/m3
PCB_198,air,pg/m3
PCB_198,air+aerosol,pg/m3
PCB_199,aerosol,pg/m3
PCB_199,air,pg/m3
PCB_199,air+aerosol,pg/m3
PCB_20+33,air+aerosol,pg/m3
PCB_200,aerosol,pg/m3
PCB_200,air,pg/m3
PCB_200,air+aerosol,pg/m3
PCB_201,aerosol,pg/m3
PCB_201,air,pg/m3
PCB_201,air+aerosol,pg/m3
PCB_201+157,aerosol,pg/m3
PCB_201+157,air,pg/m3
PCB_201+157,air+aerosol,pg/m3
PCB_202,aerosol,pg/m3
PCB_202,air,pg/m3
PCB_202,air+aerosol,pg/m3
PCB_204,air+aerosol,pg/m3
PCB_205,aerosol,pg/m3
PCB_205,air,pg/m3
PCB_205,air+aerosol,pg/m3
PCB_206,aerosol,pg/m3
PCB_206,air,pg/m3
PCB_206,air+aerosol,pg/m3
PCB_206,dried_moss,pg/g
PCB_207,aerosol,pg/m3
PCB_207,air,pg/m3
PCB_207,air+aerosol,pg/m3
PCB_208,aerosol,pg/m3
PCB_208,air,pg/m3
PCB_208,air+aerosol,pg/m3
PCB_208+195,air+aerosol,pg/m3
PCB_209,aerosol,pg/m3
PCB_209,air,pg/m3
PCB_209,air+aerosol,pg/m3
PCB_209,dried_moss,pg/g
PCB_22,aerosol,pg/m3
PCB_22,air,pg/m3
PCB_22,air+aerosol,pg/m3
PCB_24+27,aerosol,pg/m3
PCB_24+27,air,pg/m3
PCB_24+27,air+aerosol,pg/m3
PCB_25,aerosol,pg/m3
PCB_25,air,pg/m3
PCB_25,air+aerosol,pg/m3
PCB_26,aerosol,pg/m3
PCB_26,air,pg/m3
PCB_26,air+aerosol,pg/m3
PCB_26,precip,ng/l
PCB_28,aerosol,pg/m3
PCB_28,air,pg/m3
PCB_28,air+aerosol,pg/m3
PCB_28,air+pm10,pg/m3
PCB_28,dried_moss,pg/g
PCB_28,precip,ng/l
PCB_28,precip+dry_dep,ng/m2day
PCB_28,precip_tot,ng/l
PCB_28+16,air+aerosol,pg/m3
PCB_28+31,aerosol,pg/m3
PCB_28+31,air,pg/m3
PCB_28+31,air+aerosol,pg/m3
PCB_29+54,air+aerosol,pg/m3
PCB_3,aerosol,pg/m3
PCB_3,air,pg/m3
PCB_3,air+aerosol,pg/m3
PCB_30,air+aerosol,pg/m3
PCB_31,aerosol,pg/m3
PCB_31,air,pg/m3
PCB_31,air+aerosol,pg/m3
PCB_31,dried_moss,pg/g
PCB_31,precip,ng/l
PCB_33,aerosol,pg/m3
PCB_33,air,pg/m3
PCB_33,air+aerosol,pg/m3
PCB_33,dried_moss,pg/g
PCB_37,aerosol,pg/m3
PCB_37,air,pg/m3
PCB_37,air+aerosol,pg/m3
PCB_37,dried_moss,pg/g
PCB_4+10,aerosol,pg/m3
PCB_4+10,air,pg/m3
PCB_4+10,air+aerosol,pg/m3
PCB_40,aerosol,pg/m3
PCB_40,air,pg/m3
PCB_40,air+aerosol,pg/m3
PCB_40+71,air+aerosol,pg/m3
PCB_41+64+71,air+aerosol,pg/m3
PCB_41+71,aerosol,pg/m3
PCB_41+71,air,pg/m3
PCB_41+71,air+aerosol,pg/m3
PCB_42,aerosol,pg/m3
PCB_42,air,pg/m3
PCB_42,air+aerosol,pg/m3
PCB_43,air+aerosol,pg/m3
PCB_44,aerosol,pg/m3
PCB_44,air,pg/m3
PCB_44,air+aerosol,pg/m3
PCB_44,precip,ng/l
PCB_45,aerosol,pg/m3
PCB_45,air,pg/m3
PCB_45,air+aerosol,pg/m3
PCB_46,aerosol,pg/m3
PCB_46,air,pg/m3
PCB_46,air+aerosol,pg/m3
PCB_47,aerosol,pg/m3
PCB_47,air,pg/m3
PCB_47,air+aerosol,pg/m3
PCB_47+48,air+aerosol,pg/m3
PCB_48,aerosol,pg/m3
PCB_48,air,pg/m3
PCB_48,air+aerosol,pg/m3
PCB_49,aerosol,pg/m3
PCB_49,air,pg/m3
PCB_49,air+aerosol,pg/m3
PCB_50,air+aerosol,pg/m3
PCB_51,air+aerosol,pg/m3
PCB_52,aerosol,pg/m3
PCB_52,air,pg/m3
PCB_52,air+aerosol,pg/m3
PCB_52,air+pm10,pg/m3
PCB_52,dried_moss,pg/g
PCB_52,precip,ng/l
PCB_52,precip+dry_dep,ng/m2day
PCB_52,precip_tot,ng/l
PCB_53,air+aerosol,pg/m3
PCB_55,air+aerosol,pg/m3
PCB_56+60,aerosol,pg/m3
PCB_56+60,air,pg/m3
PCB_56+60,air+aerosol,pg/m3
PCB_59,air+aerosol,pg/m3
PCB_6,aerosol,pg/m3
PCB_6,air,pg/m3
PCB_6,air+aerosol,pg/m3
PCB_60,air+aerosol,pg/m3
PCB_63,air+aerosol,pg/m3
PCB_64,aerosol,pg/m3
